estID,perNombre,perApellido,perEmail,perSede,perFacultad,carreID,carreNombre,carreCreditos,estEdad,estPBM,estPAPA,estTipoAdmision,estEsEgresado,perDireccion,perBarrio,perCiudad,perTipoVivienda,perLocalidad,perEntidadSalud,perProcedencia,horPendCorresp
101010115,"Mónica María","Fernández Martínez",MFernándezM@unal.edu.co,Bogotá,Medicina,23,"Fisioterapia (SNIES 8 )",148,17,64,3.9,PEAMA,0,"CL 141 p No. 48-86","La Floresta",Villavicencio,Casa,Bosa,SaludTotal,N.e,NULL
101010116,"Raúl Santiago","Martínez Suárez",RMartínezS@unal.edu.co,Bogotá,Psicología,44,"Psicología (SNIES 14 )",167,26,0,4.9,Regular,0,"KR 36 g No. 5-66",Bello,Medellín,Apartaestudio,"Puente Aranda",Colmedica,N.e,30
101010117,"Miguel Ricardo","Reyes Martínez",MReyesM@unal.edu.co,Bogotá,Ciencias,25,"Geología (SNIES 34 )",160,19,48,4.9,Regular,0,"AC 23 i No. 19-80",Itagüí,Cartagena,Apartaestudio,"Barrios Unidos",Sanitas,N.e,33
101010118,"Raúl Andrea","Romero Torres",RRomeroT@unal.edu.co,Bogotá,Medicina,14,"Enfermería (SNIES 7 )",154,24,84,4.9,Regular,0,"AC 63 r No. 57-23",Bello,Villavicencio,Casa,"San Cristóbal",Famisanar,N.e,NULL
101010119,"Ana Alejandro","Romero Ruiz",ARomeroR@unal.edu.co,Bogotá,Ingeniería,34,"Ingeniería Mecatrónica (SNIES 16939 )",146,25,72,4.3,Regular,0,"AK 160 b No. 42-32",Bello,Villavicencio,Apartaestudio,"Ciudad Bolívar",Aliansalud,N.e,NULL
101010120,"Carlos Pedro","Martínez Flores",CMartínezF@unal.edu.co,Bogotá,Psicología,44,"Psicología (SNIES 14 )",167,26,77,4.3,Regular,0,"TV 167 c No. 10-46","Barrio Colombia",Bogotá,Finca,Engativá,Cafesalud,N.e,NULL
101010121,"Gabriela Andrés","Gómez López",GGómezL@unal.edu.co,Bogotá,Artes,4,"Artes Plásticas  (SNIES 2497 )*",188,23,19,4.3,PEAMA,0,"AC 133 s No. 52-4","El Pinal",Barranquilla,Casa,"Rafael Uribe Uribe","Coomeva EPS",N.e,36
101010122,"Mónica Andrés","Romero Rodríguez",MRomeroR@unal.edu.co,Bogotá,"Ciencias Agrarias",27,"Ingeniería Agronómica (SNIES 1 )",162,26,25,3.5,Regular,0,"KR 50 d No. 19-6","Laureano Gómez",Villavicencio,Finca,"Rafael Uribe Uribe",Aliansalud,N.e,38
101010123,"Jorge Ana","Fernández Núñez",JFernándezN@unal.edu.co,Bogotá,"Derecho, Ciencias Políticas y Sociales",6,"Ciencia Política (SNIES 3140 )",144,22,72,3.5,Regular,0,"TV 174 s No. 22-36","El Popular",Cali,Apartaestudio,"Antonio Nariño","Sura EPS",N.e,NULL
101010124,"José Alejandro","Suárez Ramírez",JSuárezR@unal.edu.co,Bogotá,"Ciencias Agrarias",27,"Ingeniería Agronómica (SNIES 1 )",162,22,18,3.5,PEAMA,0,"CL 51 j No. 98-1","El Raizal",Medellín,Apartaestudio,"Antonio Nariño","EPS Familiar",N.e,NULL
101010125,"Carlos Mario","Rodríguez Hernández",CRodríguezH@unal.edu.co,Bogotá,Ingeniería,32,"Ingeniería Industrial (SNIES 16940 )",145,24,22,3.5,PEAMA,0,"CL 66 r No. 85-76","La Floresta",Soacha,Apartamento,Usme,"Coomeva EPS",N.e,11
101010126,"Roberto Mario","Ramírez Reyes",RRamírezR@unal.edu.co,Bogotá,Ingeniería,33,"Ingeniería Mecánica (SNIES 28 )",158,22,92,3.5,Regular,0,"KR 71 g No. 13-60","San Diego",Medellín,Finca,"La Candelaria","Sura EPS",N.e,NULL
101010127,"Isabel Isabel","García Cruz",IGarcíaC@unal.edu.co,Bogotá,Ciencias,24,"Geografía (SNIES 3103 )",178,20,74,2.9,PEAMA,0,"KR 106 c No. 6-99",Belén,Cali,Casa,Usaquén,Compensar,N.e,14
101010128,"María Roberto","Romero Gómez",MRomeroG@unal.edu.co,Bogotá,Artes,40,"Música (SNIES 06 )",132,17,30,2.9,Regular,0,"AC 54 f No. 84-9",Envigado,Soacha,Apartaestudio,"Rafael Uribe Uribe","EPS Familiar",N.e,NULL
101010129,"Carlos Luis","Martínez Cruz",CMartínezC@unal.edu.co,Bogotá,"Ciencias Humanas",20,"Filología e Idiomas: Inglés (SNIES 23 )",169,28,90,2.9,PEAMA,0,"KR 79 l No. 58-2","El Lido",Cúcuta,Apartaestudio,Suba,Cafesalud,N.e,17
101010130,"Laura Miguel","Fernández Ramírez",LFernándezR@unal.edu.co,Bogotá,Ingeniería,29,"Ingeniería Sistemas (SNIES 16 )",168,30,96,2.9,PEAMA,0,"AK 90 g No. 1-65",Bello,Ibagué,Finca,Bosa,Cafesalud,N.e,NULL
